"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 10, 2019","256.85","256.40","258.82","256.11","1.84M","0.33%"
"Jun 07, 2019","256.01","251.16","256.60","251.02","2.27M","1.91%"
"Jun 06, 2019","251.21","248.00","251.94","247.74","1.49M","1.31%"
"Jun 05, 2019","247.96","246.10","248.76","245.02","1.83M","0.96%"
"Jun 04, 2019","245.61","243.00","245.82","242.50","1.76M","1.88%"
"Jun 03, 2019","241.07","239.78","241.54","238.08","2.51M","0.62%"
"May 31, 2019","239.58","238.98","240.66","233.05","4.06M","-0.81%"
"May 30, 2019","241.54","242.15","243.58","240.75","2.03M","0.35%"
"May 29, 2019","240.69","244.13","244.77","238.91","2.59M","-2.28%"
"May 28, 2019","246.31","248.58","250.20","246.14","3.16M","-0.40%"
"May 24, 2019","247.30","249.11","249.56","246.77","1.34M","-0.49%"
"May 23, 2019","248.53","248.63","249.92","247.18","1.82M","-0.39%"
"May 22, 2019","249.51","251.01","251.01","249.14","1.24M","-0.17%"
"May 21, 2019","249.93","249.11","250.83","248.10","1.50M","0.41%"
"May 20, 2019","248.90","247.15","249.94","247.15","1.60M","0.22%"
"May 17, 2019","248.35","245.88","250.05","245.59","1.67M","0.37%"
"May 16, 2019","247.44","245.63","249.73","245.21","1.80M","1.13%"
"May 15, 2019","244.67","242.11","245.40","241.23","1.19M","0.80%"
"May 14, 2019","242.73","242.29","245.09","241.81","1.64M","0.33%"
"May 13, 2019","241.92","244.12","244.93","240.67","1.96M","-2.06%"
"May 10, 2019","247.02","242.94","248.55","240.03","2.04M","1.46%"
"May 09, 2019","243.47","240.66","244.06","240.16","1.92M","0.88%"
"May 08, 2019","241.34","239.56","243.05","238.19","1.61M","0.48%"
"May 07, 2019","240.18","241.72","242.74","238.22","1.78M","-1.66%"
"May 06, 2019","244.23","242.85","244.83","242.06","1.20M","-0.16%"
"May 03, 2019","244.62","243.27","244.88","242.72","905.87K","0.80%"
"May 02, 2019","242.69","241.76","242.88","240.42","1.24M","0.46%"
"May 01, 2019","241.59","245.34","245.46","241.55","1.35M","-1.60%"
"Apr 30, 2019","245.53","244.77","245.79","243.02","1.43M","0.51%"
"Apr 29, 2019","244.28","245.00","245.75","243.49","1.43M","0.19%"
"Apr 26, 2019","243.82","245.62","245.89","242.06","1.84M","-0.72%"
"Apr 25, 2019","245.60","246.21","247.15","243.94","1.28M","-0.95%"
"Apr 24, 2019","247.96","245.68","248.70","245.60","1.16M","0.97%"
"Apr 23, 2019","245.58","244.65","246.53","242.21","1.52M","0.89%"
"Apr 22, 2019","243.42","245.19","245.77","242.56","1.30M","-0.97%"
"Apr 18, 2019","245.81","246.79","247.25","244.70","1.37M","0.10%"
